method,user_id,interests,preferred_sources,train_history_size,test_ground_truth_size,CategoryDiversity,SourceDiversity,EmbeddingDiversity,Novelty,Precision@5,Recall@5,HitRate@5,NDCG@5,MAP@5,MRR@5,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,MRR@10,Precision@20,Recall@20,HitRate@20,NDCG@20,MAP@20,MRR@20,CatalogCoverage
Hybrid,fake_user_0010,Giải trí,thanhnien,15,10,0.05,0.15,0.4447590112686157,3.8286880505530094,0.2,0.1,1.0,0.3474320876010588,0.2,1.0,0.2,0.2,1.0,0.29759188419070287,0.12,1.0,0.1,0.2,1.0,0.29759188419070287,0.12,1.0,0.5494919081671058
Hybrid,fake_user_0011,"Thể thao, Sức khỏe",vietnamnet,18,10,0.1,0.15,0.5954148471355438,3.547486867457252,0.2,0.1,1.0,0.15265015105681534,0.05,0.25,0.1,0.1,1.0,0.10357898175045131,0.025,0.25,0.05,0.1,1.0,0.10357898175045131,0.025,0.25,0.5494919081671058
Hybrid,fake_user_0012,Khác,vietnamnet,10,10,0.05,0.1,0.6720618307590485,3.438944571923348,0.2,0.1,1.0,0.14042272193490513,0.06666666666666667,0.3333333333333333,0.1,0.1,1.0,0.09563783688495395,0.03333333333333333,0.3333333333333333,0.1,0.2,1.0,0.14669933637938795,0.04509803921568627,0.3333333333333333,0.5494919081671058
Hybrid,fake_user_0013,Khác,"thanhnien, vietnamnet",11,10,0.05,0.1,0.65495365858078,3.438944571923348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.04531359742352831,0.005,0.05,0.5494919081671058
Hybrid,fake_user_0014,"Văn hóa, Thể thao",thanhnien,9,10,0.1,0.15,0.4809786081314087,3.4612723232979774,0.2,0.1,1.0,0.3285539743409139,0.2,1.0,0.1,0.1,1.0,0.22368049142301918,0.1,1.0,0.1,0.2,1.0,0.27419135119439475,0.11000000000000001,1.0,0.5494919081671058
Hybrid,fake_user_0015,"Thể thao, Công nghệ, Giải trí","kenh14, thanhnien",24,10,0.1,0.15,0.4022877812385559,3.486691722048215,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.07586944492792407,0.014285714285714285,0.14285714285714285,0.15,0.3,1.0,0.1931663703979448,0.057467532467532466,0.14285714285714285,0.5494919081671058
Hybrid,fake_user_0016,Thế giới,"baomoi, kenh14",10,10,0.2,0.15,0.6768619418144226,3.60667220518204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0017,Sức khỏe,kenh14,17,10,0.05,0.15,0.6137711107730865,4.256641437009273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.06361064033173809,0.008333333333333333,0.08333333333333333,0.5494919081671058
Hybrid,fake_user_0018,"Pháp luật, Giải trí","vietnamnet, kenh14",17,10,0.1,0.1,0.42770105600357056,3.6127834268065215,0.2,0.1,1.0,0.3382452037233176,0.2,1.0,0.1,0.1,1.0,0.22723192113213267,0.1,1.0,0.05,0.1,1.0,0.22723192113213267,0.1,1.0,0.5494919081671058
Hybrid,fake_user_0019,Sức khỏe,vietnamnet,25,10,0.05,0.15,0.6192179620265961,4.256641437009273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0020,"Kinh tế, Thể thao","thanhnien, kenh14",19,10,0.1,0.1,0.5163637697696686,3.2547010330021906,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06743932824021497,0.0125,0.125,0.15,0.3,1.0,0.1685635311284901,0.04264705882352941,0.125,0.5494919081671058
Hybrid,fake_user_0021,"Thế giới, Văn hóa",vietnamnet,17,10,0.05,0.15,0.4806513786315918,3.3203000755482486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05611854870936206,0.0058823529411764705,0.058823529411764705,0.5494919081671058
Hybrid,fake_user_0022,"Giải trí, Khác, Văn hóa","thanhnien, vietnamnet",15,10,0.15,0.15,0.46563851833343506,3.5668713387566564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0023,"Thời sự, Giải trí, Đời sống","baomoi, kenh14",23,10,0.05,0.05,0.2913839817047119,3.1759101663503193,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.1372429500570736,0.034722222222222224,0.125,0.1,0.2,1.0,0.1372429500570736,0.034722222222222224,0.125,0.5494919081671058
Hybrid,fake_user_0024,"Khác, Thời sự",baomoi,14,10,0.1,0.05,0.3638566732406616,3.189061886628971,0.2,0.1,1.0,0.20378418078157481,0.1,0.5,0.2,0.2,1.0,0.21583331439593798,0.08333333333333333,0.5,0.2,0.4,1.0,0.3321038156360319,0.1391025641025641,0.5,0.5494919081671058
Hybrid,fake_user_0025,"Kinh tế, Thế giới",thanhnien,25,10,0.1,0.15,0.5519648492336273,3.3634113678329833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.11339437364413342,0.021666666666666667,0.08333333333333333,0.5494919081671058
Hybrid,fake_user_0026,"Văn hóa, Thể thao, Thế giới","thanhnien, vietnamnet",15,10,0.1,0.1,0.4090006351470947,3.439013547337493,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.07175553369216697,0.01111111111111111,0.1111111111111111,0.1,0.2,1.0,0.11669029176287038,0.021637426900584796,0.1111111111111111,0.5494919081671058
Hybrid,fake_user_0027,Công nghệ,"kenh14, vietnamnet",21,10,0.15,0.15,0.6915877461433411,4.853757091738044,0.4,0.2,1.0,0.38460707554166346,0.27999999999999997,1.0,0.2,0.2,1.0,0.26568267520460986,0.13999999999999999,1.0,0.1,0.2,1.0,0.26568267520460986,0.13999999999999999,1.0,0.5494919081671058
Hybrid,fake_user_0028,"Thế giới, Giáo dục",thanhnien,25,10,0.05,0.15,0.2844439148902893,3.746225890474917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0029,"Thời sự, Giải trí",thanhnien,8,10,0.1,0.2,0.5294954478740692,3.306465743190857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.06310374071635683,0.008333333333333333,0.08333333333333333,0.5494919081671058
Hybrid,fake_user_0030,Khác,baomoi,8,10,0.05,0.1,0.5486292839050293,3.438944571923348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0031,Thế giới,vietnamnet,20,10,0.05,0.15,0.5919352769851685,3.760872666419563,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06736982214649778,0.014285714285714285,0.14285714285714285,0.1,0.2,1.0,0.12061095608699275,0.026785714285714284,0.14285714285714285,0.5494919081671058
Hybrid,fake_user_0032,Thế giới,kenh14,17,10,0.05,0.15,0.47534555196762085,3.760872666419563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0033,"Du lịch, Pháp luật",baomoi,24,10,0.05,0.05,0.3544270396232605,3.5746826108512595,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06476571304172937,0.01,0.1,0.15,0.3,1.0,0.18316323900637255,0.04666666666666667,0.1,0.5494919081671058
Hybrid,fake_user_0034,"Đời sống, Pháp luật","kenh14, vietnamnet",23,10,0.05,0.05,0.325039267539978,3.5746826108512595,0.2,0.1,1.0,0.16529501197336677,0.06666666666666667,0.3333333333333333,0.1,0.1,1.0,0.10936989018828434,0.03333333333333333,0.3333333333333333,0.05,0.1,1.0,0.10936989018828434,0.03333333333333333,0.3333333333333333,0.5494919081671058
Hybrid,fake_user_0035,Thời sự,"vietnamnet, baomoi",16,10,0.05,0.15,0.28243809938430786,3.1759101663503193,0.2,0.1,1.0,0.2250382053928696,0.1,0.5,0.1,0.1,1.0,0.15293098310180966,0.05,0.5,0.05,0.1,1.0,0.15293098310180966,0.05,0.5,0.5494919081671058
Hybrid,fake_user_0036,Thế giới,"thanhnien, kenh14",15,10,0.05,0.15,0.4723894000053406,3.760872666419563,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.1557975492837082,0.03888888888888888,0.16666666666666666,0.1,0.2,1.0,0.1557975492837082,0.03888888888888888,0.16666666666666666,0.5494919081671058
Hybrid,fake_user_0037,"Khác, Kinh tế","baomoi, kenh14",24,10,0.1,0.2,0.5441511571407318,3.3245334049327746,0.2,0.1,1.0,0.13548515076844095,0.04,0.2,0.2,0.2,1.0,0.16553375730156786,0.05333333333333333,0.2,0.15,0.3,1.0,0.21435683945073067,0.06999999999999999,0.2,0.5494919081671058
Hybrid,fake_user_0038,"Thời sự, Kinh tế, Khác",kenh14,19,10,0.1,0.15,0.3864940404891968,3.18691298674108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.048353667220129806,0.005,0.05,0.5494919081671058
Hybrid,fake_user_0039,Pháp luật,thanhnien,10,10,0.05,0.05,0.3751530051231384,3.5746826108512595,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06783539450371921,0.01,0.1,0.05,0.1,1.0,0.06783539450371921,0.01,0.1,0.5494919081671058
Hybrid,fake_user_0040,"Thể thao, Giáo dục","kenh14, vietnamnet",24,10,0.1,0.15,0.45901960134506226,3.621335601639367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0041,"Sức khỏe, Công nghệ, Giáo dục",thanhnien,20,10,0.1,0.1,0.47884780168533325,3.7972674451283526,0.2,0.1,1.0,0.2958679595598533,0.2,1.0,0.1,0.1,1.0,0.20006104673763137,0.1,1.0,0.25,0.5,1.0,0.43060734719234645,0.19403651903651906,1.0,0.5494919081671058
Hybrid,fake_user_0042,Giải trí,vietnamnet,9,10,0.05,0.15,0.4570227265357971,3.8286880505530094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.06135589438055708,0.007692307692307693,0.07692307692307693,0.5494919081671058
Hybrid,fake_user_0043,"Giáo dục, Thế giới, Công nghệ",baomoi,12,10,0.05,0.15,0.40192484855651855,3.746225890474917,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.07782414953081379,0.016666666666666666,0.16666666666666666,0.05,0.1,1.0,0.07782414953081379,0.016666666666666666,0.16666666666666666,0.5494919081671058
Hybrid,fake_user_0044,Văn hóa,baomoi,16,10,0.05,0.1,0.32528501749038696,3.3203000755482486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0045,Pháp luật,thanhnien,20,10,0.05,0.05,0.35297560691833496,3.5746826108512595,0.2,0.1,1.0,0.13846377920620792,0.05,0.25,0.1,0.1,1.0,0.09298003109857024,0.025,0.25,0.05,0.1,1.0,0.09298003109857024,0.025,0.25,0.5494919081671058
Hybrid,fake_user_0046,Giải trí,kenh14,18,10,0.05,0.15,0.5135650634765625,3.8286880505530094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0047,"Thế giới, Đời sống, Thể thao",vietnamnet,16,10,0.05,0.15,0.33591461181640625,3.468691915284805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0048,"Văn hóa, Sức khỏe","kenh14, thanhnien",14,10,0.05,0.05,0.25038743019104004,3.3203000755482486,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06787545876698321,0.01111111111111111,0.1111111111111111,0.05,0.1,1.0,0.06787545876698321,0.01111111111111111,0.1111111111111111,0.5494919081671058
Hybrid,fake_user_0049,Thời sự,"baomoi, kenh14",11,10,0.05,0.2,0.5200260877609253,3.1759101663503193,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.08369199809745764,0.016666666666666666,0.16666666666666666,0.05,0.1,1.0,0.08369199809745764,0.016666666666666666,0.16666666666666666,0.5494919081671058
Hybrid,fake_user_0050,"Thể thao, Văn hóa, Đời sống",thanhnien,13,10,0.15,0.1,0.5218736231327057,3.4352939844186516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0051,Giáo dục,"baomoi, vietnamnet",18,10,0.05,0.1,0.44493037462234497,3.746225890474917,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06377214386574487,0.0125,0.125,0.1,0.2,1.0,0.11534175517229582,0.02426470588235294,0.125,0.5494919081671058
Hybrid,fake_user_0052,"Sức khỏe, Kinh tế",vietnamnet,25,10,0.1,0.15,0.482907772064209,3.28221012673938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05062492553374637,0.006666666666666666,0.06666666666666667,0.5494919081671058
Hybrid,fake_user_0053,Công nghệ,vietnamnet,14,10,0.05,0.1,0.6687902808189392,5.018030503197738,0.4,0.2,1.0,0.480563857995388,0.3,1.0,0.3,0.3,1.0,0.39900727867229874,0.19285714285714287,1.0,0.2,0.4,1.0,0.4536569691984283,0.21638655462184872,1.0,0.5494919081671058
Hybrid,fake_user_0054,Công nghệ,"thanhnien, vietnamnet",22,10,0.15,0.15,0.7380165755748749,4.846970189791648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0055,"Thế giới, Giáo dục","baomoi, kenh14",11,10,0.1,0.1,0.5887977182865143,3.759407988825098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05391791472906448,0.008333333333333333,0.08333333333333333,0.5494919081671058
Hybrid,fake_user_0056,"Thời sự, Du lịch","thanhnien, vietnamnet",17,10,0.1,0.1,0.41184669733047485,4.834893269855253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.04406584663140524,0.005263157894736842,0.05263157894736842,0.5494919081671058
Hybrid,fake_user_0057,Công nghệ,"kenh14, vietnamnet",9,10,0.1,0.15,0.728317528963089,4.8601219100702995,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,0.14908238220051262,0.0365079365079365,0.14285714285714285,0.2,0.4,1.0,0.25011832987613575,0.0765079365079365,0.14285714285714285,0.5494919081671058
Hybrid,fake_user_0058,Công nghệ,baomoi,18,10,0.3,0.15,0.4969177842140198,3.593158019864174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0059,"Thế giới, Văn hóa, Pháp luật",baomoi,15,10,0.1,0.1,0.5358434915542603,3.4347722164346037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05567207387570826,0.007692307692307693,0.07692307692307693,0.5494919081671058
Hybrid,fake_user_0060,Đời sống,thanhnien,24,10,0.05,0.2,0.6319202482700348,3.542692496644519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0061,"Du lịch, Thế giới","thanhnien, baomoi",17,10,0.05,0.1,0.6237812936306,3.760872666419563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0062,Pháp luật,thanhnien,13,10,0.05,0.05,0.3426101803779602,3.5746826108512595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.04826485402083346,0.0058823529411764705,0.058823529411764705,0.5494919081671058
Hybrid,fake_user_0063,"Du lịch, Pháp luật",vietnamnet,20,10,0.05,0.05,0.3284972906112671,3.5746826108512595,0.2,0.1,1.0,0.19106997430835693,0.1,0.5,0.3,0.3,1.0,0.2618022805479295,0.11666666666666665,0.5,0.15,0.3,1.0,0.2618022805479295,0.11666666666666665,0.5,0.5494919081671058
Hybrid,fake_user_0064,Pháp luật,kenh14,25,10,0.05,0.05,0.2966344952583313,3.5746826108512595,0.2,0.1,1.0,0.208179268666048,0.1,0.5,0.2,0.2,1.0,0.2016649924109108,0.07222222222222222,0.5,0.15,0.3,1.0,0.25546471331937326,0.09097222222222222,0.5,0.5494919081671058
Hybrid,fake_user_0065,"Đời sống, Thể thao",thanhnien,15,10,0.1,0.1,0.40574121475219727,3.472391944352791,0.2,0.1,1.0,0.12753392010378234,0.04,0.2,0.1,0.1,1.0,0.08605690916008728,0.02,0.2,0.15,0.3,1.0,0.18568388096399593,0.04552631578947368,0.2,0.5494919081671058
Hybrid,fake_user_0066,Pháp luật,"vietnamnet, baomoi",11,10,0.05,0.1,0.5632142722606659,3.5746826108512595,0.2,0.1,1.0,0.11993044032068517,0.04,0.2,0.2,0.2,1.0,0.16661162653005773,0.05333333333333333,0.2,0.1,0.2,1.0,0.16661162653005773,0.05333333333333333,0.2,0.5494919081671058
Hybrid,fake_user_0067,"Đời sống, Sức khỏe","vietnamnet, baomoi",12,10,0.15,0.2,0.634990006685257,3.7742355092574735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05602654325724213,0.0058823529411764705,0.058823529411764705,0.5494919081671058
Hybrid,fake_user_0068,"Văn hóa, Giải trí","baomoi, kenh14",9,10,0.1,0.1,0.4054880142211914,3.4219776705492,0.2,0.1,1.0,0.19950655643145493,0.1,0.5,0.2,0.2,1.0,0.20079444832645602,0.07222222222222222,0.5,0.1,0.2,1.0,0.20079444832645602,0.07222222222222222,0.5,0.5494919081671058
Hybrid,fake_user_0069,"Công nghệ, Đời sống","baomoi, thanhnien",15,10,0.1,0.2,0.7456279098987579,3.837760097955163,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06743690748554937,0.01,0.1,0.05,0.1,1.0,0.06743690748554937,0.01,0.1,0.5494919081671058
Hybrid,fake_user_0070,Thể thao,kenh14,20,10,0.05,0.1,0.38366854190826416,3.468691915284805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05525123756688329,0.007142857142857143,0.07142857142857142,0.5494919081671058
Hybrid,fake_user_0071,"Sức khỏe, Công nghệ, Du lịch",vietnamnet,10,10,0.05,0.15,0.6269524097442627,4.256641437009273,0.2,0.1,1.0,0.1356361722527972,0.04,0.2,0.1,0.1,1.0,0.09109780467154244,0.02,0.2,0.15,0.3,1.0,0.2088871737136634,0.055828877005347596,0.2,0.5494919081671058
Hybrid,fake_user_0072,"Giải trí, Đời sống",vietnamnet,16,10,0.1,0.2,0.4582065939903259,3.7428893843804625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.05237549785959265,0.006666666666666666,0.06666666666666667,0.5494919081671058
Hybrid,fake_user_0073,"Đời sống, Pháp luật","thanhnien, baomoi",10,10,0.1,0.1,0.4983440041542053,3.571483599430586,0.2,0.1,1.0,0.11968801214528897,0.04,0.2,0.2,0.2,1.0,0.14803903294963666,0.045,0.2,0.1,0.2,1.0,0.14803903294963666,0.045,0.2,0.5494919081671058
Hybrid,fake_user_0074,"Sức khỏe, Công nghệ",vietnamnet,14,10,0.05,0.15,0.5689614117145538,4.256641437009273,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06932852493145572,0.01111111111111111,0.1111111111111111,0.1,0.2,1.0,0.12186548288943673,0.02361111111111111,0.1111111111111111,0.5494919081671058
Hybrid,fake_user_0075,Thể thao,"thanhnien, kenh14",22,10,0.05,0.15,0.4023723602294922,3.468691915284805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494919081671058
Hybrid,fake_user_0076,"Sức khỏe, Đời sống, Giáo dục","kenh14, vietnamnet",10,10,0.05,0.15,0.2546352744102478,3.746225890474917,0.2,0.1,1.0,0.18260632604586677,0.06666666666666667,0.3333333333333333,0.1,0.1,1.0,0.12237268985163333,0.03333333333333333,0.3333333333333333,0.05,0.1,1.0,0.12237268985163333,0.03333333333333333,0.3333333333333333,0.5494919081671058
Hybrid,fake_user_0077,"Du lịch, Công nghệ",baomoi,18,10,0.1,0.15,0.43619072437286377,5.12217376946291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.06265803185694233,0.007142857142857143,0.07142857142857142,0.5494919081671058
Hybrid,fake_user_0078,"Đời sống, Kinh tế, Khác","thanhnien, baomoi",22,10,0.15,0.1,0.6254200041294098,3.397261843072971,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.06675488286274835,0.0125,0.125,0.05,0.1,1.0,0.06675488286274835,0.0125,0.125,0.5494919081671058
Hybrid,fake_user_0079,Khác,"baomoi, thanhnien",21,10,0.05,0.1,0.5612500905990601,3.438944571923348,0.6,0.3,1.0,0.6538513936581942,0.55,1.0,0.3,0.3,1.0,0.4370487876193122,0.275,1.0,0.15,0.3,1.0,0.4370487876193122,0.275,1.0,0.5494919081671058
Hybrid,fake_user_0080,"Khác, Công nghệ, Pháp luật","kenh14, baomoi",20,10,0.1,0.1,0.34376412630081177,3.5678957089048637,0.2,0.1,1.0,0.11633893441904924,0.04,0.2,0.2,0.2,1.0,0.15572855546392614,0.045,0.2,0.1,0.2,1.0,0.15572855546392614,0.045,0.2,0.5494919081671058
Hybrid,fake_user_0081,Du lịch,kenh14,20,10,0.05,0.1,0.2821063995361328,5.127654994003183,0.4,0.2,1.0,0.35024119112850227,0.18,0.5,0.4,0.4,1.0,0.3873592752793366,0.18285714285714286,0.5,0.25,0.5,1.0,0.44535954026319713,0.22131868131868132,0.5,0.5494919081671058
Hybrid,fake_user_0082,"Giáo dục, Thời sự, Thế giới",baomoi,13,10,0.1,0.05,0.44180619716644287,3.575131173237538,0.2,0.1,1.0,0.13148171111188287,0.04,0.2,0.1,0.1,1.0,0.08726120426359198,0.02,0.2,0.1,0.2,1.0,0.14075033992973862,0.03333333333333334,0.2,0.5494919081671058
Hybrid,fake_user_0083,"Sức khỏe, Thế giới","kenh14, vietnamnet",13,10,0.1,0.15,0.5946803987026215,3.8104495434785344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.0,0.054985801974102695,0.0058823529411764705,0.058823529411764705,0.5494919081671058
